WKT,nama,deskripsi
"POLYGON ((106.823294 -6.1716817, 106.8229507 -6.1752657, 106.8229507 -6.177143, 106.8228649 -6.1795323, 106.8236373 -6.1808123, 106.8262123 -6.1806416, 106.8279289 -6.1806416, 106.8301605 -6.1806416, 106.8312763 -6.1791909, 106.8299888 -6.1785083, 106.8299888 -6.1769723, 106.8300746 -6.1754363, 106.8299888 -6.1736443, 106.8294738 -6.1724497, 106.8292163 -6.1715963, 106.827843 -6.171511, 106.8254398 -6.1715963, 106.823294 -6.1716817))",Taman Monas,
"POLYGON ((106.7980233 -6.2143377, 106.7979804 -6.215447, 106.7966929 -6.2152337, 106.7959205 -6.2170255, 106.7974225 -6.2183907, 106.796135 -6.2189453, 106.7952338 -6.222529, 106.7950192 -6.2274352, 106.7975512 -6.2261553, 106.7984954 -6.2206519, 106.8021861 -6.2220171, 106.8057481 -6.2268379, 106.8079367 -6.2229556, 106.8086663 -6.2198839, 106.8088809 -6.2159589, 106.8063489 -6.215191, 106.8061772 -6.2126312, 106.801714 -6.2137831, 106.7980233 -6.2143377))",Gelora Bung Karno,
"POLYGON ((106.8190196 -6.3170487, 106.8221953 -6.3174326, 106.8246415 -6.3176885, 106.8256715 -6.3117169, 106.8266156 -6.3117169, 106.8270877 -6.3083471, 106.8248561 -6.3083044, 106.8250277 -6.3063849, 106.8229678 -6.306257, 106.8224957 -6.3065982, 106.8206504 -6.3064702, 106.8205645 -6.3055745, 106.8164447 -6.3049773, 106.8159297 -6.3052332, 106.816788 -6.3071954, 106.8157151 -6.308603, 106.8158868 -6.3105225, 106.8176034 -6.3104372, 106.8177751 -6.3146601, 106.8164018 -6.3152572, 106.8163588 -6.3166222, 106.8180755 -6.3164089, 106.8190196 -6.3170487))",Kebun Binatang Ragunan,
"POLYGON ((106.8836841 -6.2988766, 106.8816242 -6.3024171, 106.8852291 -6.3045926, 106.890808 -6.3054457, 106.8984899 -6.305531, 106.905013 -6.305403, 106.9053993 -6.3016066, 106.9045839 -6.298706, 106.9007215 -6.2986207, 106.8957433 -6.298834, 106.8957433 -6.2980235, 106.8941125 -6.2981941, 106.8942413 -6.2991752, 106.8881044 -6.2985781, 106.8836841 -6.2988766))",Taman Mini Indonesia Indah,
"POLYGON ((106.8506859 -6.2332961, 106.8502138 -6.233936, 106.8525312 -6.2360264, 106.8512867 -6.2395246, 106.8525312 -6.2422123, 106.8548487 -6.2424256, 106.8531321 -6.2402499, 106.8540333 -6.2375622, 106.8536041 -6.2344906, 106.8530462 -6.2345759, 106.8528746 -6.2333387, 106.8506859 -6.2332961))",Tebet Echo Park,
