"nid","parent_nid","name","serial","type","latitude","longitude","status"
"24","0","Provinsi Sulawesi Utara","71","1","0.6246932","123.9750018","1"
"25","0","Provinsi Sulawesi Tengah","72","1","-1.4300254","121.4456179","1"
"26","0","Provinsi Sulawesi Selatan","73","1","-3.6687994","119.9740534","1"
"27","0","Provinsi Sulawesi Tenggara","74","1","-4.14491","122.174605","1"
"28","0","Provinsi Gorontalo","75","1","0.6999372","122.4467238","1"
"29","0","Provinsi Sulawesi Barat","76","1","-2.8441371","119.2320784","1"
